ip,msg,score
101.227.1.200,":'XSS Filter - Category 4: Javascript URI Vector',",646
101.227.1.200,":'XSS Filter - Category 5: Disallowed HTML Attributes',",1936
101.227.1.201,":'Detects MySQL UDF injection and other data/structure manipulation attempts',",175
101.227.1.201,":'Detects SQL benchmark and sleep injection attempts including conditional queries',",32
101.227.1.201,":'Detects blind sqli tests using sleep() or benchmark().',",1434
101.227.1.201,":'IE XSS Filters - Attack Detected.',",1070
101.227.1.201,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",3535
101.227.1.201,":'MySQL in-line comment detected.',",692
101.227.1.201,":'PHP Injection Attack: High-Risk PHP Function Call Found',",9442
101.227.1.201,":'PHP Injection Attack: Low-Value PHP Function Call Found',",9974
101.227.1.201,":'PHP Injection Attack: PHP Open Tag Found',",1142
101.227.1.201,":'Path Traversal Attack (/../)',",25541
101.227.1.201,":'Possible XSS Attack Detected - HTML Tag Handler',",4315
101.227.1.201,":'Remote Command Execution: Unix Shell Expression Found',",267
101.227.1.201,":'Remote Command Execution: Wildcard bypass technique attempt',",2598
101.227.1.201,":'SQL Comment Sequence Detected.',",19122
101.227.1.201,":'SQL Hex Encoding Identified',",13073
101.227.1.201,":'SQL Injection Attack',",47935
101.227.1.201,":'SQL Injection Attack: Common DB Names Detected',",13325
101.227.1.201,":'US-ASCII Malformed Encoding XSS Filter - Attack Detected.',",99
101.227.1.201,":'UTF-7 Encoding IE XSS - Attack Detected.',",261
101.227.1.201,":'XSS Filter - Category 1: Script Tag Vector',",1465
101.227.1.201,":'XSS Filter - Category 3: Attribute Vector',",2383
101.227.1.201,":'XSS Filter - Category 4: Javascript URI Vector',",759
101.227.1.201,":'XSS Filter - Category 5: Disallowed HTML Attributes',",2194
101.227.1.202,":'Detects MySQL UDF injection and other data/structure manipulation attempts',",154
101.227.1.202,":'Detects SQL benchmark and sleep injection attempts including conditional queries',",32
101.227.1.202,":'Detects blind sqli tests using sleep() or benchmark().',",1373
101.227.1.202,":'Detects conditional SQL injection attempts',",2
101.227.1.202,":'IE XSS Filters - Attack Detected.',",1029
101.227.1.202,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",3389
101.227.1.202,":'MySQL in-line comment detected.',",694
101.227.1.202,":'PHP Injection Attack: High-Risk PHP Function Call Found',",9287
101.227.1.202,":'PHP Injection Attack: Low-Value PHP Function Call Found',",9380
101.227.1.202,":'PHP Injection Attack: PHP Open Tag Found',",1000
101.227.1.202,":'Path Traversal Attack (/../)',",23703
101.227.1.202,":'Possible XSS Attack Detected - HTML Tag Handler',",4308
101.227.1.202,":'Remote Command Execution: Unix Shell Expression Found',",235
101.227.1.202,":'Remote Command Execution: Wildcard bypass technique attempt',",2572
101.227.1.202,":'SQL Comment Sequence Detected.',",19348
101.227.1.202,":'SQL Hex Encoding Identified',",12450
101.227.1.202,":'SQL Injection Attack',",45650
101.227.1.202,":'SQL Injection Attack: Common DB Names Detected',",12699
101.227.1.202,":'US-ASCII Malformed Encoding XSS Filter - Attack Detected.',",111
101.227.1.202,":'UTF-7 Encoding IE XSS - Attack Detected.',",238
101.227.1.202,":'XSS Filter - Category 1: Script Tag Vector',",1391
101.227.1.202,":'XSS Filter - Category 3: Attribute Vector',",2473
101.227.1.202,":'XSS Filter - Category 4: Javascript URI Vector',",679
101.227.1.202,":'XSS Filter - Category 5: Disallowed HTML Attributes',",2126
101.227.1.203,":'Detects MySQL UDF injection and other data/structure manipulation attempts',",284
101.227.1.203,":'Detects SQL benchmark and sleep injection attempts including conditional queries',",50
101.227.1.203,":'Detects blind sqli tests using sleep() or benchmark().',",1988
101.227.1.203,":'Detects conditional SQL injection attempts',",1
101.227.1.203,":'IE XSS Filters - Attack Detected.',",1549
101.227.1.203,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",4230
101.227.1.203,":'MySQL in-line comment detected.',",937
101.227.1.203,":'PHP Injection Attack: High-Risk PHP Function Call Found',",11672
101.227.1.203,":'PHP Injection Attack: Low-Value PHP Function Call Found',",14098
101.227.1.203,":'PHP Injection Attack: PHP Open Tag Found',",1568
101.227.1.203,":'Path Traversal Attack (/../)',",31130
101.227.1.203,":'Possible XSS Attack Detected - HTML Tag Handler',",5760
101.227.1.203,":'Remote Command Execution: Unix Shell Expression Found',",317
101.227.1.203,":'Remote Command Execution: Wildcard bypass technique attempt',",3758
101.227.1.203,":'SQL Comment Sequence Detected.',",24935
101.227.1.203,":'SQL Hex Encoding Identified',",18821
101.227.1.203,":'SQL Injection Attack',",62850
101.227.1.203,":'SQL Injection Attack: Common DB Names Detected',",18485
101.227.1.203,":'US-ASCII Malformed Encoding XSS Filter - Attack Detected.',",216
101.227.1.203,":'UTF-7 Encoding IE XSS - Attack Detected.',",360
101.227.1.203,":'XSS Filter - Category 1: Script Tag Vector',",1961
101.227.1.203,":'XSS Filter - Category 3: Attribute Vector',",2931
101.227.1.203,":'XSS Filter - Category 4: Javascript URI Vector',",1080
101.227.1.203,":'XSS Filter - Category 5: Disallowed HTML Attributes',",3050
101.236.42.219,MSG,0
101.89.217.131,MSG,0
101.89.217.244,MSG,0
101.95.175.54,MSG,0
103.1.209.172,MSG,0
103.1.31.227,MSG,0
103.100.210.55,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1
103.100.210.55,MSG,0
103.103.232.1,MSG,0
103.104.4.1,MSG,0
103.112.28.14,MSG,0
103.115.42.43,":'PHP Injection Attack: High-Risk PHP Function Call Found',",295529
103.115.42.43,":'PHP Injection Attack: Low-Value PHP Function Call Found',",285052
103.115.42.43,":'PHP Injection Attack: Variables Found',",284295
103.115.42.43,":'SQL Comment Sequence Detected.',",178
103.115.42.43,":'SQL Injection Attack',",295529
103.115.46.9,MSG,0
103.193.174.220,":'PHP Injection Attack: High-Risk PHP Function Call Found',",2772
103.193.174.220,":'Remote Command Execution: Wildcard bypass technique attempt',",1438
103.193.174.220,":'SQL Comment Sequence Detected.',",1438
103.193.247.54,MSG,0
103.200.125.50,":'Path Traversal Attack (/../)',",51
103.204.177.143,":'PHP Injection Attack: High-Risk PHP Function Call Found',",862
103.204.177.143,":'PHP Injection Attack: Low-Value PHP Function Call Found',",349
103.204.177.143,":'SQL Comment Sequence Detected.',",350
103.204.177.143,":'SQL Injection Attack',",363
103.211.69.58,MSG,0
103.212.33.251,MSG,0
103.212.35.69,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1
103.212.35.69,":'SQL Injection Attack',",1
103.213.251.155,":'PHP Injection Attack: High-Risk PHP Function Call Found',",5943
103.213.251.155,":'PHP Injection Attack: Low-Value PHP Function Call Found',",5792
103.213.251.155,":'PHP Injection Attack: Variables Found',",5786
103.213.251.155,":'SQL Comment Sequence Detected.',",2
103.213.251.155,":'SQL Injection Attack',",5943
103.213.251.70,":'PHP Injection Attack: High-Risk PHP Function Call Found',",103
103.213.251.70,":'SQL Injection Attack',",103
103.213.96.156,":'PHP Injection Attack: High-Risk PHP Function Call Found',",4
103.213.96.156,":'PHP Injection Attack: Low-Value PHP Function Call Found',",2
103.213.96.156,":'SQL Comment Sequence Detected.',",2
103.213.96.156,":'SQL Injection Attack',",2
103.214.171.214,":'PHP Injection Attack: High-Risk PHP Function Call Found',",34868
103.214.171.214,":'PHP Injection Attack: Low-Value PHP Function Call Found',",4565
103.214.171.214,":'SQL Comment Sequence Detected.',",4565
103.214.171.214,":'SQL Injection Attack',",13455
103.214.173.203,MSG,0
103.223.122.13,":'PHP Injection Attack: High-Risk PHP Function Call Found',",4892
103.223.122.13,":'PHP Injection Attack: Low-Value PHP Function Call Found',",61
103.223.122.13,":'SQL Comment Sequence Detected.',",61
103.223.122.13,":'SQL Injection Attack',",494
103.224.83.111,":'PHP Injection Attack: Low-Value PHP Function Call Found',",3663
103.224.83.111,":'Remote Command Execution: Unix Shell Expression Found',",625
103.224.83.111,":'SQL Comment Sequence Detected.',",614
103.228.170.104,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1932
103.228.170.104,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1776
103.228.170.104,":'PHP Injection Attack: PHP Open Tag Found',",5
103.228.170.104,":'PHP Injection Attack: Variable Function Call Found',",5
103.228.170.104,":'PHP Injection Attack: Variables Found',",1713
103.228.170.104,":'Path Traversal Attack (/../)',",10
103.228.170.104,":'Possible XSS Attack Detected - HTML Tag Handler',",1
103.228.170.104,":'Remote Command Execution: Wildcard bypass technique attempt',",1
103.228.170.104,":'SQL Comment Sequence Detected.',",51
103.228.170.104,":'SQL Injection Attack',",1922
103.228.170.104,":'SQL Injection Attack: Common DB Names Detected',",3
103.228.170.104,":'XSS Filter - Category 5: Disallowed HTML Attributes',",1
103.228.170.74,":'PHP Injection Attack: High-Risk PHP Function Call Found',",432
103.228.170.74,":'PHP Injection Attack: Low-Value PHP Function Call Found',",232
103.228.170.74,":'PHP Injection Attack: PHP Open Tag Found',",1
103.228.170.74,":'PHP Injection Attack: Variable Function Call Found',",1
103.228.170.74,":'PHP Injection Attack: Variables Found',",224
103.228.170.74,":'Path Traversal Attack (/../)',",1
103.228.170.74,":'Possible XSS Attack Detected - HTML Tag Handler',",1
103.228.170.74,":'Remote Command Execution: Wildcard bypass technique attempt',",1
103.228.170.74,":'SQL Comment Sequence Detected.',",9
103.228.170.74,":'SQL Injection Attack',",295
103.228.170.74,":'SQL Injection Attack: Common DB Names Detected',",1
103.228.170.74,":'XSS Filter - Category 5: Disallowed HTML Attributes',",1
103.228.170.74,MSG,0
103.228.170.79,MSG,0
103.228.170.84,":'PHP Injection Attack: High-Risk PHP Function Call Found',",280
103.228.170.84,":'PHP Injection Attack: Low-Value PHP Function Call Found',",45
103.228.170.84,":'PHP Injection Attack: PHP Open Tag Found',",11
103.228.170.84,":'PHP Injection Attack: Variable Function Call Found',",4
103.228.170.84,":'PHP Injection Attack: Variables Found',",4
103.228.170.84,":'Path Traversal Attack (/../)',",6
103.228.170.84,":'Possible XSS Attack Detected - HTML Tag Handler',",1
103.228.170.84,":'Remote Command Execution: Unix Shell Expression Found',",2
103.228.170.84,":'Remote Command Execution: Wildcard bypass technique attempt',",1
103.228.170.84,":'SQL Comment Sequence Detected.',",35
103.228.170.84,":'SQL Injection Attack',",135
103.228.170.84,":'XSS Filter - Category 5: Disallowed HTML Attributes',",1
103.228.170.84,MSG,0
103.229.126.162,":'PHP Injection Attack: High-Risk PHP Function Call Found',",41235
103.229.126.162,":'PHP Injection Attack: Low-Value PHP Function Call Found',",7334
103.229.126.162,":'Remote Command Execution: Unix Shell Expression Found',",18
103.229.126.162,":'SQL Comment Sequence Detected.',",7324
103.229.126.162,":'SQL Injection Attack',",14255
103.23.137.185,MSG,0
103.231.14.109,":'PHP Injection Attack: High-Risk PHP Function Call Found',",19931
103.231.14.109,":'PHP Injection Attack: Low-Value PHP Function Call Found',",19082
103.231.14.109,":'PHP Injection Attack: Variables Found',",19082
103.231.14.109,":'SQL Comment Sequence Detected.',",1
103.231.14.109,":'SQL Injection Attack',",19931
103.233.11.150,MSG,0
103.239.247.159,":'PHP Injection Attack: High-Risk PHP Function Call Found',",235790
103.239.247.159,":'PHP Injection Attack: Low-Value PHP Function Call Found',",228408
103.239.247.159,":'PHP Injection Attack: Variables Found',",227808
103.239.247.159,":'SQL Comment Sequence Detected.',",122
103.239.247.159,":'SQL Injection Attack',",235790
103.24.2.57,MSG,0
103.244.89.19,MSG,0
103.244.89.91,":'PHP Injection Attack: High-Risk PHP Function Call Found',",147
103.244.89.91,":'PHP Injection Attack: Low-Value PHP Function Call Found',",140
103.244.89.91,":'PHP Injection Attack: Variables Found',",140
103.244.89.91,":'SQL Injection Attack',",147
103.254.189.244,MSG,0
103.254.72.186,":'PHP Injection Attack: High-Risk PHP Function Call Found',",192
103.254.72.186,":'PHP Injection Attack: Low-Value PHP Function Call Found',",11
103.254.72.186,":'PHP Injection Attack: PHP Open Tag Found',",2
103.254.72.186,":'PHP Injection Attack: Variable Function Call Found',",2
103.254.72.186,":'Path Traversal Attack (/../)',",2
103.254.72.186,":'SQL Comment Sequence Detected.',",10
103.254.72.186,":'SQL Injection Attack',",61
103.254.72.186,":'SQL Injection Attack: Common DB Names Detected',",1
103.254.72.186,MSG,0
103.255.179.9,MSG,0
103.255.45.201,MSG,0
103.37.1.82,":'Path Traversal Attack (/../)',",1
103.37.1.82,MSG,0
103.38.80.122,MSG,0
103.38.80.90,MSG,0
103.39.18.122,MSG,0
103.43.11.218,":'PHP Injection Attack: High-Risk PHP Function Call Found',",153
103.43.11.218,":'PHP Injection Attack: Low-Value PHP Function Call Found',",2
103.43.11.218,":'Remote Command Execution: Wildcard bypass technique attempt',",1
103.43.11.218,":'SQL Comment Sequence Detected.',",1
103.43.11.218,":'SQL Injection Attack',",26
103.43.11.218,":'SQL Injection Attack: Common DB Names Detected',",2
103.43.11.218,MSG,0
103.45.101.253,":'PHP Injection Attack: High-Risk PHP Function Call Found',",7
103.45.101.253,":'PHP Injection Attack: Low-Value PHP Function Call Found',",7
103.45.101.253,":'PHP Injection Attack: Variables Found',",7
103.45.101.253,":'SQL Injection Attack',",7
103.45.13.175,":'PHP Injection Attack: High-Risk PHP Function Call Found',",21963
103.45.13.175,":'PHP Injection Attack: Low-Value PHP Function Call Found',",20638
103.45.13.175,":'PHP Injection Attack: Variables Found',",20638
103.45.13.175,":'SQL Injection Attack',",21963
103.48.22.202,":'Path Traversal Attack (/../)',",4
103.48.22.202,MSG,0
103.49.8.146,MSG,0
103.49.8.82,MSG,0
103.50.254.200,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1214
103.50.254.200,":'PHP Injection Attack: Low-Value PHP Function Call Found',",16
103.50.254.200,":'Remote Command Execution: Wildcard bypass technique attempt',",590
103.50.254.200,":'SQL Comment Sequence Detected.',",590
103.54.60.154,":'PHP Injection Attack: High-Risk PHP Function Call Found',",383
103.54.60.154,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1
103.54.60.154,":'Possible XSS Attack Detected - HTML Tag Handler',",1
103.54.60.154,":'SQL Comment Sequence Detected.',",14
103.54.60.154,":'SQL Injection Attack',",1
103.54.60.154,":'SQL Injection Attack: Common DB Names Detected',",1
103.54.60.154,MSG,0
103.54.60.74,":'PHP Injection Attack: High-Risk PHP Function Call Found',",9
103.54.60.74,":'PHP Injection Attack: Low-Value PHP Function Call Found',",9
103.54.60.74,":'PHP Injection Attack: Variables Found',",9
103.54.60.74,":'SQL Injection Attack',",9
103.54.60.74,MSG,0
103.55.129.162,":'PHP Injection Attack: High-Risk PHP Function Call Found',",89
103.55.129.162,":'PHP Injection Attack: Low-Value PHP Function Call Found',",10
103.55.129.162,":'Remote Command Execution: Wildcard bypass technique attempt',",1
103.55.129.162,":'SQL Comment Sequence Detected.',",11
103.55.129.162,":'SQL Injection Attack',",32
103.55.129.162,MSG,0
103.55.130.50,MSG,0
103.56.113.247,":'PHP Injection Attack: High-Risk PHP Function Call Found',",29627
103.56.113.247,":'PHP Injection Attack: Low-Value PHP Function Call Found',",5557
103.56.113.247,":'Remote Command Execution: Unix Shell Expression Found',",5
103.56.113.247,":'SQL Comment Sequence Detected.',",5557
103.56.113.247,":'SQL Injection Attack',",10970
103.57.70.248,MSG,0
103.60.149.170,":'PHP Injection Attack: High-Risk PHP Function Call Found',",28
103.60.149.170,":'PHP Injection Attack: PHP Open Tag Found',",1
103.60.149.170,":'PHP Injection Attack: Variable Function Call Found',",1
103.60.149.170,":'Path Traversal Attack (/../)',",1
103.60.149.170,":'SQL Injection Attack',",27
103.60.149.170,MSG,0
103.61.238.242,MSG,0
103.66.56.186,MSG,0
103.66.57.37,":'PHP Injection Attack: High-Risk PHP Function Call Found',",64
103.66.57.37,":'SQL Injection Attack',",31
103.66.58.221,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1
103.66.58.221,":'SQL Injection Attack',",1
103.66.58.221,":'SQL Injection Attack: Common DB Names Detected',",1
103.66.58.221,MSG,0
103.66.58.231,":'PHP Injection Attack: High-Risk PHP Function Call Found',",315
103.66.58.231,":'PHP Injection Attack: Low-Value PHP Function Call Found',",112
103.66.58.231,":'PHP Injection Attack: PHP Open Tag Found',",1
103.66.58.231,":'PHP Injection Attack: Variable Function Call Found',",1
103.66.58.231,":'Path Traversal Attack (/../)',",1
103.66.58.231,":'SQL Comment Sequence Detected.',",112
103.66.58.231,":'SQL Injection Attack',",315
103.66.58.231,MSG,0
103.66.59.90,":'PHP Injection Attack: High-Risk PHP Function Call Found',",162
103.66.59.90,":'PHP Injection Attack: Low-Value PHP Function Call Found',",59
103.66.59.90,":'Remote Command Execution: Unix Shell Expression Found',",111
103.66.59.90,":'SQL Comment Sequence Detected.',",156
103.66.59.90,":'SQL Injection Attack',",148
103.66.59.90,MSG,0
103.67.23.140,MSG,0
103.70.225.5,":'PHP Injection Attack: High-Risk PHP Function Call Found',",91
103.70.225.5,":'PHP Injection Attack: Low-Value PHP Function Call Found',",35
103.70.225.5,":'PHP Injection Attack: Variables Found',",3
103.70.225.5,":'Remote Command Execution: Unix Shell Expression Found',",45
103.70.225.5,":'Remote Command Execution: Wildcard bypass technique attempt',",22
103.70.225.5,":'SQL Comment Sequence Detected.',",67
103.70.225.5,":'SQL Injection Attack',",3
103.70.225.5,MSG,0
103.75.45.26,":'PHP Injection Attack: High-Risk PHP Function Call Found',",711
103.75.45.26,":'PHP Injection Attack: Low-Value PHP Function Call Found',",67
103.75.45.26,":'PHP Injection Attack: PHP Open Tag Found',",7
103.75.45.26,":'PHP Injection Attack: Variable Function Call Found',",9
103.75.45.26,":'Path Traversal Attack (/../)',",10
103.75.45.26,":'Remote Command Execution: Unix Shell Expression Found',",1084
103.75.45.26,":'Remote Command Execution: Wildcard bypass technique attempt',",1
103.75.45.26,":'SQL Comment Sequence Detected.',",1136
103.75.45.26,":'SQL Injection Attack',",686
103.75.45.26,":'SQL Injection Attack: Common DB Names Detected',",3
103.75.45.26,MSG,0
103.76.85.99,":'PHP Injection Attack: High-Risk PHP Function Call Found',",2855
103.76.85.99,":'PHP Injection Attack: PHP Open Tag Found',",2855
103.76.85.99,":'Path Traversal Attack (/../)',",1236
103.76.85.99,":'SQL Comment Sequence Detected.',",1236
103.79.179.189,":'PHP Injection Attack: High-Risk PHP Function Call Found',",177
103.79.179.189,":'SQL Injection Attack',",176
103.85.25.245,MSG,0
103.96.73.243,":'PHP Injection Attack: High-Risk PHP Function Call Found',",34464
103.96.73.243,":'PHP Injection Attack: Low-Value PHP Function Call Found',",5962
103.96.73.243,":'Remote Command Execution: Unix Shell Expression Found',",16
103.96.73.243,":'SQL Comment Sequence Detected.',",5957
103.96.73.243,":'SQL Injection Attack',",12602
104.140.17.74,MSG,0
104.143.151.2,":'PHP Injection Attack: High-Risk PHP Function Call Found',",4
104.143.151.2,":'PHP Injection Attack: Low-Value PHP Function Call Found',",4
104.143.151.2,":'PHP Injection Attack: Variables Found',",4
104.143.151.2,":'Path Traversal Attack (/../)',",1
104.143.151.2,":'SQL Injection Attack',",4
104.143.151.2,MSG,0
104.143.95.9,MSG,0
104.149.135.218,MSG,0
104.149.17.170,MSG,0
104.149.172.130,":'Path Traversal Attack (/../)',",1
104.149.172.130,MSG,0
104.149.2.130,MSG,0
104.149.3.66,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1
104.149.3.66,":'SQL Injection Attack',",1
104.149.3.66,":'SQL Injection Attack: Common DB Names Detected',",1
104.149.3.66,MSG,0
104.149.4.50,":'PHP Injection Attack: PHP Open Tag Found',",1
104.149.4.50,":'PHP Injection Attack: Variable Function Call Found',",1
104.149.4.50,":'Path Traversal Attack (/../)',",1
104.149.4.50,MSG,0
104.151.108.2,MSG,0
104.151.51.226,MSG,0
104.152.52.74,MSG,0
104.156.74.89,MSG,0
104.161.102.228,MSG,0
104.161.54.2,MSG,0
104.164.115.50,MSG,0
104.164.132.138,":'PHP Injection Attack: High-Risk PHP Function Call Found',",166
104.164.132.138,":'PHP Injection Attack: Low-Value PHP Function Call Found',",140
104.164.132.138,":'PHP Injection Attack: PHP Open Tag Found',",1
104.164.132.138,":'PHP Injection Attack: Variables Found',",108
104.164.132.138,":'Path Traversal Attack (/../)',",1268
104.164.132.138,":'SQL Comment Sequence Detected.',",31
104.164.132.138,":'SQL Injection Attack',",165
104.164.132.138,MSG,0
104.164.50.226,MSG,0
104.166.89.218,MSG,0
104.166.94.122,MSG,0
104.166.94.74,MSG,0
104.168.109.58,":'Path Traversal Attack (/../)',",7
104.168.109.58,MSG,0
104.168.23.242,":'PHP Injection Attack: High-Risk PHP Function Call Found',",22
104.168.23.242,":'PHP Injection Attack: Low-Value PHP Function Call Found',",15
104.168.23.242,":'PHP Injection Attack: Variables Found',",15
104.168.23.242,":'SQL Injection Attack',",22
104.168.23.242,MSG,0
104.168.23.250,":'Path Traversal Attack (/../)',",3
104.168.23.250,MSG,0
104.171.187.130,MSG,0
104.171.189.194,MSG,0
104.192.108.10,MSG,0
104.194.227.210,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",2
104.194.227.210,":'PHP Injection Attack: High-Risk PHP Function Call Found',",5592
104.194.227.210,":'PHP Injection Attack: Low-Value PHP Function Call Found',",4955
104.194.227.210,":'PHP Injection Attack: PHP Open Tag Found',",7
104.194.227.210,":'PHP Injection Attack: Variable Function Call Found',",4
104.194.227.210,":'PHP Injection Attack: Variables Found',",4702
104.194.227.210,":'Path Traversal Attack (/../)',",4
104.194.227.210,":'Remote Command Execution: Unix Shell Expression Found',",1
104.194.227.210,":'Remote Command Execution: Wildcard bypass technique attempt',",1
104.194.227.210,":'SQL Comment Sequence Detected.',",248
104.194.227.210,":'SQL Hex Encoding Identified',",2
104.194.227.210,":'SQL Injection Attack',",5532
104.194.227.210,":'SQL Injection Attack: Common DB Names Detected',",3
104.194.239.26,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",1
104.194.239.26,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1013
104.194.239.26,":'PHP Injection Attack: Low-Value PHP Function Call Found',",837
104.194.239.26,":'PHP Injection Attack: PHP Open Tag Found',",7
104.194.239.26,":'PHP Injection Attack: Variable Function Call Found',",1
104.194.239.26,":'PHP Injection Attack: Variables Found',",782
104.194.239.26,":'Path Traversal Attack (/../)',",1
104.194.239.26,":'Remote Command Execution: Wildcard bypass technique attempt',",2
104.194.239.26,":'SQL Comment Sequence Detected.',",45
104.194.239.26,":'SQL Hex Encoding Identified',",1
104.194.239.26,":'SQL Injection Attack',",920
104.194.239.26,":'SQL Injection Attack: Common DB Names Detected',",5
104.195.43.194,":'PHP Injection Attack: High-Risk PHP Function Call Found',",44
104.195.43.194,":'PHP Injection Attack: Low-Value PHP Function Call Found',",16
104.195.43.194,MSG,0
104.200.176.226,MSG,0
104.201.2.194,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1927
104.201.2.194,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1122
104.201.2.194,":'PHP Injection Attack: PHP Open Tag Found',",5
104.201.2.194,":'PHP Injection Attack: Variable Function Call Found',",1
104.201.2.194,":'PHP Injection Attack: Variables Found',",724
104.201.2.194,":'Path Traversal Attack (/../)',",2
104.201.2.194,":'Possible XSS Attack Detected - HTML Tag Handler',",1
104.201.2.194,":'Remote Command Execution: Unix Shell Expression Found',",1
104.201.2.194,":'Remote Command Execution: Wildcard bypass technique attempt',",7
104.201.2.194,":'SQL Comment Sequence Detected.',",404
104.201.2.194,":'SQL Injection Attack',",1781
104.201.2.194,":'XSS Filter - Category 5: Disallowed HTML Attributes',",1
